"Question Text","Question Type","Option 1","Option 2","Option 3","Option 4","Option 5","Correct Answer","Time in seconds","Image Link","Answer explanation"
"Trận Điện Biên Phủ bắt đầu vào ngày nào?","Multiple Choice","13 tháng 3 năm 1954","7 tháng 5 năm 1954","20 tháng 7 năm 1954","10 tháng 12 năm 1953","","1","30","https://upload.wikimedia.org/wikipedia/commons/2/27/Dien_Bien_Phu_campaign_starts.jpg","Trận Điện Biên Phủ chính thức bắt đầu với cuộc tấn công của Việt Minh vào các cứ điểm của Pháp vào ngày 13 tháng 3 năm 1954."
"Trận Điện Biên Phủ kết thúc vào ngày nào?","Multiple Choice","13 tháng 3 năm 1954","7 tháng 5 năm 1954","20 tháng 7 năm 1954","10 tháng 12 năm 1953","","2","30","https://upload.wikimedia.org/wikipedia/commons/0/02/Dien_Bien_Phu_final_assault.jpg","Sau 56 ngày đêm chiến đấu, quân đội Pháp tại Điện Biên Phủ đã đầu hàng vào ngày 7 tháng 5 năm 1954."
"Điện Biên Phủ nằm ở đâu tại Việt Nam?","Multiple Choice","Tây Bắc Việt Nam","Đồng bằng sông Hồng","Miền Trung Việt Nam","Miền Nam Việt Nam","","1","30","https://upload.wikimedia.org/wikipedia/commons/8/87/Map_Battle_of_Dien_Bien_Phu.jpg","Điện Biên Phủ là một thung lũng lòng chảo ở khu vực Tây Bắc Việt Nam, gần biên giới Lào."
"Ai là Tổng Tư lệnh Chiến dịch Điện Biên Phủ của Việt Minh?","Multiple Choice","Phạm Văn Đồng","Võ Nguyên Giáp","Hồ Chí Minh","Trường Chinh","","2","30","https://upload.wikimedia.org/wikipedia/commons/2/22/V%C3%B5_Nguy%C3%AAn_Gi%C3%A1p_%281977%29.jpg","Đại tướng Võ Nguyên Giáp là Tổng Tư lệnh kiêm Bí thư Đảng ủy Chiến dịch Điện Biên Phủ."
"Ai là Chỉ huy trưởng Tập đoàn cứ điểm Điện Biên Phủ của Pháp?","Multiple Choice","Jean de Lattre de Tassigny","Henri Navarre","Christian de Castries","Charles de Gaulle","","3","30","https://upload.wikimedia.org/wikipedia/commons/f/fe/Christian_de_Castries.jpg","Đại tá Christian de Castries là người chỉ huy quân đội Pháp tại Điện Biên Phủ."
"Mục tiêu chiến lược của Pháp khi xây dựng Tập đoàn cứ điểm Điện Biên Phủ là gì?","Multiple Choice","Kiểm soát đường biên giới với Trung Quốc","Bảo vệ thủ đô Hà Nội","Nhử và tiêu diệt chủ lực Việt Minh","Làm căn cứ hậu cần cho quân Pháp","","3","30","https://upload.wikimedia.org/wikipedia/commons/4/4b/Dienbienphu-airstrip.jpg","Kế hoạch Navarre, trong đó Điện Biên Phủ là một phần, nhằm mục đích nhử quân chủ lực Việt Minh ra và tiêu diệt họ trong một trận đánh lớn."
"Ban đầu, Đại tướng Võ Nguyên Giáp đã quyết định thay đổi phương châm tác chiến từ 'đánh nhanh thắng nhanh' sang 'đánh chắc tiến chắc' vì lý do gì?","Multiple Choice","Quân Pháp quá yếu","Địa hình không thuận lợi cho tấn công nhanh","Đảm bảo thắng lợi và giảm thiểu thương vong","Việt Minh thiếu vũ khí hạng nặng","","3","30","https://upload.wikimedia.org/wikipedia/commons/7/7b/Vietminh_soldiers_pulling_a_cannon_into_position_at_Dien_Bien_Phu.jpg","Quyết định thay đổi phương châm nhằm đảm bảo chắc thắng và hạn chế tối đa tổn thất cho quân đội Việt Minh, khi nhận thấy Pháp đã củng cố công sự rất mạnh."
"Phương tiện chủ yếu được Việt Minh sử dụng để vận chuyển pháo hạng nặng vào trận địa Điện Biên Phủ là gì?","Multiple Choice","Xe tải","Máy bay","Xe đạp thồ","Tàu hỏa","","3","30","https://upload.wikimedia.org/wikipedia/commons/e/ea/Transport_d%C3%A9_munition.jpg","Hàng vạn dân công đã sử dụng xe đạp thồ và sức người để kéo pháo và vận chuyển lương thực, vũ khí vào mặt trận, vượt qua địa hình hiểm trở."
"Chiến thuật đào hầm, đường hào bao vây các cứ điểm của Pháp đã được Việt Minh áp dụng thành công trong chiến dịch nào?","Multiple Choice","Chiến dịch Biên Giới","Chiến dịch Hòa Bình","Chiến dịch Điện Biên Phủ","Chiến dịch Việt Bắc","","3","30","https://upload.wikimedia.org/wikipedia/commons/0/07/Viet_Minh_soldiers_building_trench_during_Dien_Bien_Phu.jpg","Hệ thống đường hào chằng chịt đã giúp Việt Minh bao vây, chia cắt và siết chặt các cứ điểm của Pháp, đồng thời bảo vệ bộ đội khỏi hỏa lực đối phương."
"Một trong những cứ điểm quan trọng nhất của Pháp tại Điện Biên Phủ, thường được gọi bằng tên một phụ nữ, là gì?","Multiple Choice","Beatrice","Isabelle","Anne-Marie","Eliane","","1","30","https://upload.wikimedia.org/wikipedia/commons/b/bd/Eliane.jpg","Các cứ điểm của Pháp tại Điện Biên Phủ được đặt tên theo vần ABC, ví dụ như Beatrice (Đồi Độc Lập), Gabrielle (Đồi Độc Lập), Eliane (Đồi A1)."
"Kết quả của trận Điện Biên Phủ đã tác động như thế nào đến chính phủ Pháp?","Multiple Choice","Tăng cường ủng hộ cho cuộc chiến","Dẫn đến sự thay đổi chính phủ và đàm phán","Kêu gọi viện trợ từ Mỹ","Pháp giành lại thế chủ động","","2","30","https://upload.wikimedia.org/wikipedia/commons/3/30/Pierre_Mend%C3%A8s_France_in_1955.jpg","Thất bại tại Điện Biên Phủ đã gây chấn động lớn ở Pháp, dẫn đến sự sụp đổ của chính phủ Laniel và thúc đẩy quá trình đàm phán tại Hội nghị Genève."
"Yếu tố nào được coi là một trong những bất ngờ lớn nhất của Việt Minh đối với quân Pháp trong Chiến dịch Điện Biên Phủ?","Multiple Choice","Lực lượng bộ binh đông đảo","Khả năng tác chiến ban đêm","Sự xuất hiện và hiệu quả của pháo binh hạng nặng","Sử dụng xe tăng","","3","30","https://upload.wikimedia.org/wikipedia/commons/e/ea/Transport_d%C3%A9_munition.jpg","Pháp đã đánh giá thấp khả năng vận chuyển và bố trí pháo binh của Việt Minh, điều này đã tạo ra ưu thế hỏa lực bất ngờ cho quân ta."
"Trận Điện Biên Phủ có liên quan trực tiếp đến hội nghị quốc tế nào sau đó?","Multiple Choice","Hội nghị Yalta","Hội nghị Potsdam","Hội nghị Genève 1954","Hội nghị Paris 1973","","3","30","https://upload.wikimedia.org/wikipedia/commons/e/e0/Geneva_Conference_1954.jpg","Thất bại của Pháp tại Điện Biên Phủ đã trực tiếp thúc đẩy quá trình đàm phán tại Hội nghị Genève năm 1954, dẫn đến việc ký kết Hiệp định Genève."
"Để tiếp tế cho Tập đoàn cứ điểm Điện Biên Phủ, Pháp chủ yếu dựa vào phương tiện nào?","Multiple Choice","Đường bộ","Đường sắt","Cầu hàng không","Đường thủy","","3","30","https://upload.wikimedia.org/wikipedia/commons/9/90/French_transport_planes_at_Dien_Bien_Phu.jpg","Do Điện Biên Phủ bị bao vây hoàn toàn, Pháp phải phụ thuộc vào việc tiếp tế bằng đường không qua 'cầu hàng không' để cung cấp lương thực, đạn dược và quân tiếp viện."
"Quốc gia nào đã cung cấp viện trợ quân sự đáng kể cho Việt Minh trong Chiến dịch Điện Biên Phủ?","Multiple Choice","Hoa Kỳ","Anh","Liên Xô và Trung Quốc","Ấn Độ","","3","30","https://upload.wikimedia.org/wikipedia/commons/6/6f/Chinese_aid_to_Viet_Minh.jpg","Liên Xô và Trung Quốc đã cung cấp vũ khí, đạn dược, trang thiết bị và huấn luyện quân sự cho Việt Minh, đóng góp quan trọng vào thắng lợi."
"Nguyên nhân chính dẫn đến thất bại của Pháp tại Điện Biên Phủ là gì?","Multiple Choice","Thiếu vũ khí","Không có sự hỗ trợ của Hoa Kỳ","Đánh giá thấp ý chí và khả năng của Việt Minh, cùng với chiến lược sai lầm","Địa hình quá bằng phẳng","","3","30","https://upload.wikimedia.org/wikipedia/commons/e/e6/Dien_Bien_Phu_battlefield_today.jpg","Pháp đã chủ quan, coi thường sức mạnh và tinh thần chiến đấu của Việt Minh, đồng thời mắc sai lầm chiến lược khi xây dựng cứ điểm giữa thung lũng."
"Giai đoạn cuối cùng của Chiến dịch Điện Biên Phủ, dẫn đến sự đầu hàng của quân Pháp, tập trung vào việc tấn công những cứ điểm nào?","Multiple Choice","Him Lam và Độc Lập","Hồng Cúm và Bản Kéo","A1 và C2 (Eliane và Dominique)","Isabelle và Mường Thanh","","3","30","https://upload.wikimedia.org/wikipedia/commons/b/bd/Eliane.jpg","Sau khi tiêu diệt các cứ điểm vòng ngoài, Việt Minh tập trung tấn công vào khu trung tâm Mường Thanh và các cứ điểm như đồi A1 (Eliane 2), C2 (Dominique 2) trong giai đoạn cuối cùng."
"Khoảng bao nhiêu lính Pháp và lính Lê dương đã bị bắt làm tù binh sau trận Điện Biên Phủ?","Multiple Choice","Dưới 1.000","Khoảng 5.000","Trên 10.000","Khoảng 20.000","","3","30","https://upload.wikimedia.org/wikipedia/commons/0/07/French_prisoners_at_Dien_Bien_Phu.jpg","Hơn 10.000 quân Pháp và lính Lê dương đã bị bắt sống sau trận Điện Biên Phủ, trong đó có cả tướng De Castries."
"Khái niệm chiến lược 'con nhím' (Hedgehog) mà Pháp áp dụng tại Điện Biên Phủ là gì?","Multiple Choice","Tập trung quân vào một cứ điểm mạnh để phòng thủ và phản công","Phân tán quân ra nhiều cứ điểm nhỏ để dễ cơ động","Sử dụng hỏa lực mạnh để tiêu diệt đối phương từ xa","Xây dựng các công sự ngầm dưới lòng đất","","1","30","https://upload.wikimedia.org/wikipedia/commons/3/30/French_fortifications_in_Dien_Bien_Phu.jpg","Chiến lược 'con nhím' là tập trung một lực lượng quân sự lớn vào một vị trí phòng thủ kiên cố, hy vọng buộc đối phương phải tấn công trực diện và bị tiêu diệt bởi hỏa lực áp đảo."
"Trận Điện Biên Phủ có ý nghĩa lịch sử quốc tế như thế nào?","Multiple Choice","Mở đầu cho Chiến tranh Lạnh","Kết thúc chế độ thuộc địa kiểu cũ trên toàn thế giới","Thúc đẩy phong trào giải phóng dân tộc ở các nước thuộc địa","Khởi đầu cho sự can thiệp của Mỹ vào Việt Nam","","3","30","https://upload.wikimedia.org/wikipedia/commons/5/52/Battle_of_Dien_Bien_Phu_Vietnamese_propaganda_poster.jpg","Chiến thắng Điện Biên Phủ đã giáng đòn quyết định vào chủ nghĩa thực dân Pháp, cổ vũ mạnh mẽ phong trào giải phóng dân tộc trên thế giới, đặc biệt là ở châu Phi và Mỹ Latinh."